#,Name,Phone,Email,Credit Days,Address,Phone No,GST No,Agent,Collector,Sales Person,Cheque No,Bank,Order Limit,Credit Limit,Trade Discount(%),Cash Discount(%),Actions
,Vimal Desai,9971176056,ava.jenkins@schmeler.com,,"B/34-35, WESTERN PARK, India, Gujarat, Surat - 395001",9971176056,24AFNPG7193J1Z1,,,,,,,,,,
,Gladyce Schuster IV,9571043826,boyer.don@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9571043826,4.05E+14,,,,,,,,,,
,Mrs. Belle Pouros II,1836057429,vreilly@abshire.net,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1836057429,6.28E+14,,,,,,,,,,
,Prof. Felton Stiedemann,9254817063,karley.oconner@mayert.biz,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9254817063,3.99E+14,,,,,,,,,,
,Donnell Kautzer,3065782419,greynolds@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",3065782419,2.58E+14,,,,,,,,,,
,Antone Parker,8357960421,jaquelin.huel@wilderman.org,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8357960421,3.38E+14,,,,,,,,,,
,Israel Stoltenberg,5093812476,wolf.esperanza@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5093812476,5.01E+14,,,,,,,,,,
,Trever Corwin,7948612035,chelsea.greenholt@kuhn.biz,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7948612035,4.92E+14,,,,,,,,,,
,Dr. Eliane Crooks,1097435628,flangosh@labadie.org,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1097435628,4.83E+14,,,,,,,,,,
,Litzy Jacobs,8405623971,greenfelder.austin@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8405623971,6.74E+14,,,,,,,,,,
,David Towne,9453210768,hattie29@konopelski.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9453210768,3.75E+14,,,,,,,,,,
,Prof. Clifton Carroll II,7419853206,leonie09@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7419853206,4.31E+14,,,,,,,,,,
,Mr. Kip Okuneva MD,1279045863,lizeth.ward@greenfelder.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1279045863,6.52E+14,,,,,,,,,,
,Jo Friesen,5718063924,amiya.lubowitz@rodriguez.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5718063924,2.38E+14,,,,,,,,,,
,Kelli Simonis,1237564890,laisha.reinger@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1237564890,4.91E+14,,,,,,,,,,
,Marge Murphy,6439175208,josie26@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6439175208,8.80E+14,,,,,,,,,,
,Cali Strosin,198375264,carolanne.langworth@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",198375264,7.15E+14,,,,,,,,,,
,Pauline Price,9073642851,bleuschke@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9073642851,7.21E+14,,,,,,,,,,
,Waylon Kassulke DDS,4320715986,wilfred.kilback@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",4320715986,9.08E+14,,,,,,,,,,
,Kristy Davis,8530927164,myrl42@klein.info,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8530927164,8.94E+14,,,,,,,,,,
,Miss Callie Reichert,7401963582,elnora73@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7401963582,4.22E+14,,,,,,,,,,
,Lily Gutkowski,7493052861,mariana01@gutkowski.org,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7493052861,3.32E+14,,,,,,,,,,
,Mario Rowe,4859061732,ida.collier@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",4859061732,1.79E+14,,,,,,,,,,
,Nova Gutmann,6847310259,bednar.jarrell@lind.net,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6847310259,2.32E+14,,,,,,,,,,
,Delilah Ondricka,869231574,holden.herman@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",869231574,5.84E+14,,,,,,,,,,
,SHREE PRAMUKHSWAMI SALES,9971176056,ava.jenkins@schmeler.com,,"B/34-35, WESTERN PARK, India, Gujarat, Surat - 395001",9971176056,24AFNPG7193J1Z1,,,,,,,,,,
,BRAND CASTLE,9066535000,ava.jenkins@schmeler.com,,"298-E 59, KHADI BHANDAR WALI GALI, AGGARWAL COLONY, BATHINDA, India, Punjab, Bathinda - 151001",9066535000,03BBYPA7373N1Z1,,,,,,,,,,
,Jaida Flatley,752948613,ava.jenkins@schmeler.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",752948613,6.87E+14,,,,,,,,,,
,Prof. Hardy Jerde Sr.,9037564821,kylie.vandervort@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9037564821,7.00E+14,,,,,,,,,,
,Abdul Johns V,214637985,lakin.garret@greenholt.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",214637985,4.61E+14,,,,,,,,,,
,Onie McClure,8791205364,schuppe.candice@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8791205364,4.18E+14,,,,,,,,,,
,Mrs. Mabelle Daniel,6932417508,canderson@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6932417508,1.18E+14,,,,,,,,,,
,Prof. Turner Orn MD,9853214076,ustreich@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9853214076,7.83E+14,,,,,,,,,,
,Vesta Carter,5792301846,adriana.kunde@medhurst.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5792301846,5.41E+14,,,,,,,,,,
,Omer McCullough,9521876340,tina69@denesik.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9521876340,4.30E+14,,,,,,,,,,
,Mr. Garrison Halvorson,1469702538,hermina96@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1469702538,3.31E+14,,,,,,,,,,
,Alejandrin Reynolds,3214975086,kaycee37@oberbrunner.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",3214975086,5.03E+14,,,,,,,,,,
,Mariano Bogisich,972856314,tabshire@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",972856314,5.95E+14,,,,,,,,,,
,Prof. Camryn Hansen II,4078192563,maritza94@stiedemann.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",4078192563,8.78E+14,,,,,,,,,,
,Keaton Beer,1032689745,kailey38@schiller.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1032689745,5.30E+14,,,,,,,,,,
,Abraham Schroeder,867352941,bins.bianka@greenfelder.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",867352941,9.63E+14,,,,,,,,,,
,Micaela Trantow DVM,4573219608,mueller.jasper@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",4573219608,1.55E+14,,,,,,,,,,
,Prof. Deangelo Nienow,8617925043,kristian22@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8617925043,6.57E+14,,,,,,,,,,
,Chadrick Frami,3561248907,odaugherty@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",3561248907,7.46E+14,,,,,,,,,,
,Dr. Alessia Muller V,572398416,rosalinda.johnston@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",572398416,6.65E+14,,,,,,,,,,
,Lawson Hettinger,8261039574,zharris@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8261039574,9.73E+14,,,,,,,,,,
,Willy Ebert,1467805932,kolby.rowe@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1467805932,4.55E+14,,,,,,,,,,
,Bethany Marks Sr.,8516937204,lavonne63@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8516937204,1.21E+14,,,,,,,,,,
,Evalyn Macejkovic,8532197640,schaefer.clare@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8532197640,7.41E+14,,,,,,,,,,
,Mr. Elliott Nolan III,6548739201,myost@kuphal.info,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6548739201,6.03E+14,,,,,,,,,,
,Norval Wolff MD,5914203768,jayne.murazik@kunze.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5914203768,5.79E+14,,,,,,,,,,
,Gladyce Schuster IV,9571043826,boyer.don@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9571043826,4.05E+14,,,,,,,,,,
,Mrs. Belle Pouros II,1836057429,vreilly@abshire.net,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1836057429,6.28E+14,,,,,,,,,,
,Prof. Felton Stiedemann,9254817063,karley.oconner@mayert.biz,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9254817063,3.99E+14,,,,,,,,,,
,Donnell Kautzer,3065782419,greynolds@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",3065782419,2.58E+14,,,,,,,,,,
,Antone Parker,8357960421,jaquelin.huel@wilderman.org,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8357960421,3.38E+14,,,,,,,,,,
,Israel Stoltenberg,5093812476,wolf.esperanza@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5093812476,5.01E+14,,,,,,,,,,
,Trever Corwin,7948612035,chelsea.greenholt@kuhn.biz,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7948612035,4.92E+14,,,,,,,,,,
,Dr. Eliane Crooks,1097435628,flangosh@labadie.org,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1097435628,4.83E+14,,,,,,,,,,
,Litzy Jacobs,8405623971,greenfelder.austin@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8405623971,6.74E+14,,,,,,,,,,
,David Towne,9453210768,hattie29@konopelski.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9453210768,3.75E+14,,,,,,,,,,
,Prof. Clifton Carroll II,7419853206,leonie09@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7419853206,4.31E+14,,,,,,,,,,
,Mr. Kip Okuneva MD,1279045863,lizeth.ward@greenfelder.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1279045863,6.52E+14,,,,,,,,,,
,Jo Friesen,5718063924,amiya.lubowitz@rodriguez.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",5718063924,2.38E+14,,,,,,,,,,
,Kelli Simonis,1237564890,laisha.reinger@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",1237564890,4.91E+14,,,,,,,,,,
,Marge Murphy,6439175208,josie26@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6439175208,8.80E+14,,,,,,,,,,
,Cali Strosin,198375264,carolanne.langworth@yahoo.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",198375264,7.15E+14,,,,,,,,,,
,Pauline Price,9073642851,bleuschke@gmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",9073642851,7.21E+14,,,,,,,,,,
,Waylon Kassulke DDS,4320715986,wilfred.kilback@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",4320715986,9.08E+14,,,,,,,,,,
,Kristy Davis,8530927164,myrl42@klein.info,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",8530927164,8.94E+14,,,,,,,,,,
,Miss Callie Reichert,7401963582,elnora73@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7401963582,4.22E+14,,,,,,,,,,
,Lily Gutkowski,7493052861,mariana01@gutkowski.org,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",7493052861,3.32E+14,,,,,,,,,,
,Mario Rowe,4859061732,ida.collier@hotmail.com,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",4859061732,1.79E+14,,,,,,,,,,
,Nova Gutmann,6847310259,bednar.jarrell@lind.net,,"9th Floor, Infinity Tower, Lal Darwaja Station Rd, beside Ayurvedic College, India, Gujarat, Surat - 395001",6847310259,2.32E+14,,,,,,,,,,
